Incident Type,Complaint Tracking Number,Date Complaint Occurred,Date Complaint Received by NOPD (PIB),Date Complaint Investigation Complete,Complaint classification,Investigation status,Disposition,Bureau of Complainant,Division of Complainant,Unit of Complainant,Unit Additional Details of Complainant,Working Status of Complainant,Shift of Complainant,Rule Violation,Paragraph Violation,Unique Officer Allegation ID,Officer Race Ethnicity,Officer Gender,Officer Age,Officer years of service,Complainant Gender,Complainant Ethnicity,Complainant Age
Public Initiated,2019-0123-P,2019-03-02,2019-03-03,2020-03-10,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,1st District,Staff,,,,RULE 2: MORAL CONDUCT,PARAGRAPH 01 - ADHERENCE TO LAW,57138,Hispanic,Male,39,,Female,White,23
Rank Initiated,2019-0125-R,2019-03-02,2019-03-04,2019-07-08,DI-1,Completed,Sustained,FOB - Field Operations Bureau,7th District,Evening Watch,,Unknown Working Status,Unknown Shift Hours,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,50440,White,Male,34,,,,
Public Initiated,2019-0126-P,2019-03-02,2019-03-02,2019-03-26,Mediation,Completed,Withdrawn - Mediation,PIB - Public Integrity Bureau,PIB,Staff,,,,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,50443,White,Female,47,,Male,White,30
Public Initiated,2019-0127-N,2019-03-02,2019-03-04,2019-04-04,NFIM,Completed,NFIM,,,,,,,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,50444,,,,,Female,Black,26
Rank Initiated,2019-0128-R,2019-12-31,2019-03-04,2019-06-25,DI-1,Completed,Negotiated Settlement,FOB - Field Operations Bureau,Special Operations Division,Tactical Section,1st Platoon,,,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,50447,White,Male,39,,,,
Rank Initiated,2019-0128-R,2019-12-31,2019-03-04,2019-06-25,DI-1,Completed,Negotiated Settlement,FOB - Field Operations Bureau,Special Operations Division,Tactical Section,1st Platoon,,,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,50448,Black,Male,47,,,,
Public Initiated,2019-0129-P,2019-03-03,2019-03-04,,DI-1,Forwarded,Pending,FOB - Field Operations Bureau,6th District,Task Force,B,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,50450,Hispanic,Male,27,,,,
Public Initiated,2019-0129-P,2019-03-03,2019-03-04,,DI-1,Forwarded,Pending,FOB - Field Operations Bureau,6th District,Task Force,B,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,50452,White,Male,27,,,,
Public Initiated,2019-0129-P,2019-03-03,2019-03-04,,DI-1,Forwarded,Pending,FOB - Field Operations Bureau,6th District,Task Force,B,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,50454,White,Male,53,,,,
Public Initiated,2019-0129-P,2019-03-03,2019-03-04,,DI-1,Forwarded,Pending,FOB - Field Operations Bureau,6th District,Task Force,B,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,50971,White,Male,48,,,,
Public Initiated,2019-0129-P,2019-03-03,2019-03-04,,DI-1,Forwarded,Pending,FOB - Field Operations Bureau,6th District,Task Force,B,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,50973,White,Male,50,,,,
Public Initiated,2019-0130-P,2019-03-03,2019-03-04,2019-07-09,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,8th District,C Platoon,,,,RULE 2: MORAL CONDUCT,PARAGRAPH 01 - ADHERENCE TO LAW,50456,Hispanic,Male,39,,,,
Public Initiated,2019-0118-P,2019-02-24,2019-03-04,2019-07-09,DI-1,Completed,Exonerated,MSB - Management Service Bureau,Administrative Duties Services,Limited Duty,,Unknown Working Status,Unknown Shift Hours,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,50459,Black,Male,34,,,,
Public Initiated,2019-0118-P,2019-02-24,2019-03-04,2019-07-09,DI-1,Completed,Exonerated,MSB - Management Service Bureau,Administrative Duties Services,Limited Duty,,Unknown Working Status,Unknown Shift Hours,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,50564,White,Male,29,,,,
Rank Initiated,2019-0131-R,2019-02-26,2019-03-04,2020-08-31,DI-1,Completed,Sustained,FOB - Field Operations Bureau,7th District,Evening Watch,,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,50473,White,Male,34,,,,
Rank Initiated,2019-0131-R,2019-02-26,2019-03-04,2020-08-31,DI-1,Completed,Sustained,FOB - Field Operations Bureau,7th District,Evening Watch,,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,50475,Hispanic,Male,26,,,,
Public Initiated,2019-0133-P,2019-01-31,2019-03-04,2019-07-16,DI-1,Completed,Exonerated,FOB - Field Operations Bureau,7th District,Evening Watch,NCIC Platoon A,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,50478,Black,Male,56,,,,
Public Initiated,2019-0133-P,2019-01-31,2019-03-04,2019-07-16,DI-1,Completed,Exonerated,FOB - Field Operations Bureau,7th District,Evening Watch,NCIC Platoon A,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,50711,Black,Male,37,,,,
Public Initiated,2019-0133-P,2019-01-31,2019-03-04,2019-07-16,DI-1,Completed,Exonerated,FOB - Field Operations Bureau,7th District,Evening Watch,NCIC Platoon A,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,52219,Black,Female,31,,,,
Rank Initiated,2019-0134-R,2019-01-13,2019-03-04,2019-08-16,DI-1,Completed,Sustained,FOB - Field Operations Bureau,8th District,Narcotics,,,,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,50485,White,Male,59,,,,
Rank Initiated,2019-0134-R,2019-01-13,2019-03-04,2019-08-16,DI-1,Completed,Sustained,FOB - Field Operations Bureau,8th District,Narcotics,,,,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,50486,White,Male,37,,,,
Rank Initiated,2019-0136-R,2019-03-04,2019-03-05,2021-01-08,DI-1,Completed,Sustained,FOB - Field Operations Bureau,2nd District,Narcotics,,,,RULE 3: PROF CONDUCT,PARAGRAPH 08 - Use of Alchohol/Drugs On Duty,50491,Black,Male,54,,,,
Public Initiated,2019-0137-P,2019-03-05,2019-03-05,2020-06-09,DI-1,Completed,Sustained,MSB - Management Service Bureau,Administrative Duties Services,Limited Duty,,Unknown Working Status,Unknown Shift Hours,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,50492,Hispanic,Female,40,,Female,Black,47
Public Initiated,2019-0140-N,2019-03-05,2019-03-06,2019-04-04,NFIM,Completed,NFIM,Not - NOPD Officer,Not Nopd,Unknown,Not - NOPD Officer,Not - NOPD Officer,Unknown Shift Hours,NO VIOLATION OBSERVED,,50500,,,,,Sex-Unk,Race-Unknown,
Public Initiated,2019-0138-P,2019-03-06,2019-03-06,2019-11-25,DI-1,Forwarded,Pending,FOB - Field Operations Bureau,1st District,1st Platoon,,,,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,50708,White,Male,43,,,,
Rank Initiated,2019-0139-R,2019-03-03,2019-03-07,2021-01-08,DI-1,Completed,Sustained,MSB - Management Service Bureau,Administrative Duties Services,Limited Duty,1st Platoon,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,50521,Hispanic,Female,40,,,,
Rank Initiated,2019-0139-R,2019-03-03,2019-03-07,2021-01-08,DI-1,Completed,Sustained,MSB - Management Service Bureau,Administrative Duties Services,Limited Duty,1st Platoon,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,52333,White,Male,27,,,,
Public Initiated,2019-0142-P,2019-01-09,2019-03-07,2019-04-18,Mediation,Completed,Withdrawn - Mediation,MSB - Management Service Bureau,Administrative Duties Services,Limited Duty,APR,Regular Working,Between 3pm-11pm,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,50551,Black,Male,46,,Male,Hispanic,80
Rank Initiated,2019-0141-R,2019-02-23,2019-03-08,2019-10-23,DI-1,Forwarded,Pending,FOB - Field Operations Bureau,7th District,Evening Watch,,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,50556,White,Male,34,,,,
Rank Initiated,2019-0141-R,2019-02-23,2019-03-08,2019-10-23,DI-1,Forwarded,Pending,FOB - Field Operations Bureau,7th District,Evening Watch,,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,50558,Hispanic,Male,26,,,,
Public Initiated,2019-0143-P,2019-03-08,2019-03-08,2019-04-17,Mediation,Completed,Withdrawn - Mediation,ISB - Investigations and Support Bureau,Special Investigations Division,Court Liaison,,,,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,50576,Black,Male,54,,Female,Black,58
Public Initiated,2019-0144-P,2019-02-14,2019-03-11,2019-07-16,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,1st District,D.I.U.,Persons,,,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,50855,Black,Female,33,,,,
Public Initiated,2019-0145-N,2019-03-10,2019-03-11,2019-04-04,NFIM,Completed,NFIM,Not - NOPD Officer,Not Nopd,,,,,NO VIOLATION OBSERVED,,50598,,,,,Female,Race-Unknown,24
Public Initiated,2019-0146-P,2019-03-03,2019-03-11,2020-03-26,DI-1,Completed,Sustained,FOB - Field Operations Bureau,6th District,D.I.U.,Property,,,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,50604,White,Female,43,,Female,Black,42
Public Initiated,2019-0146-P,2019-03-03,2019-03-11,2020-03-26,DI-1,Completed,Sustained,FOB - Field Operations Bureau,6th District,D.I.U.,Property,,,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,50901,Black,Male,57,,Female,Black,42
Rank Initiated,2019-0148-R,2019-03-11,2019-03-12,2019-11-11,DI-1,Completed,Sustained,FOB - Field Operations Bureau,1st District,Narcotics,,,,RULE 4: PERF OF DUTY,PARAGRAPH 01 - REPORTING FOR DUTY,50612,White,Male,36,,,,
Public Initiated,2019-0149-P,2019-03-11,2019-03-12,2019-07-19,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,4th District,1st Platoon,,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,50882,White,Male,30,,,,
Public Initiated,2019-0150-P,2019-01-12,2019-03-12,2019-11-11,DI-1,Completed,Sustained,FOB - Field Operations Bureau,8th District,Bourbon Promenade,Bourbon Street,Regular Working,Between 9pm-535am,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,50677,Black,Male,56,,Female,White,44
Public Initiated,2019-0151-P,2019-03-06,2019-03-12,2019-07-19,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,3rd District,,,,,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,50646,Hispanic,Male,54,,,,
Public Initiated,2019-0153-P,2019-03-12,2019-03-13,2019-07-19,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,Special Operations Division,Tactical Section,1st Platoon,,,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,50664,,,,,,,
Public Initiated,2019-0153-P,2019-03-12,2019-03-13,2019-07-19,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,Special Operations Division,Tactical Section,1st Platoon,,,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,50907,White,Male,35,,,,
Public Initiated,2019-0153-P,2019-03-12,2019-03-13,2019-07-19,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,Special Operations Division,Tactical Section,1st Platoon,,,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,50908,White,Male,45,,,,
Public Initiated,2019-0153-P,2019-03-12,2019-03-13,2019-07-19,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,Special Operations Division,Tactical Section,1st Platoon,,,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,50909,Black,Male,50,,,,
Rank Initiated,2019-0154-R,2019-03-07,2019-03-13,1900-01-01,DI-1,Completed,Sustained,FOB - Field Operations Bureau,8th District,Bourbon Promenade,,,,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,50667,Black,Male,56,,,,
Rank Initiated,2019-0154-R,2019-03-07,2019-03-13,1900-01-01,DI-1,Completed,Sustained,FOB - Field Operations Bureau,8th District,Bourbon Promenade,,,,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,50670,Black,Male,51,,,,
Rank Initiated,2019-0155-R,2019-02-08,2019-03-13,2020-03-26,DI-1,Completed,Sustained,FOB - Field Operations Bureau,1st District,1st Platoon,,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,50674,White,Male,41,,,,
Rank Initiated,2019-0155-R,2019-02-08,2019-03-13,2020-03-26,DI-1,Completed,Sustained,FOB - Field Operations Bureau,1st District,1st Platoon,,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,50851,Black,Male,41,,,,
Public Initiated,2019-0120-P,2019-01-30,2019-02-27,2019-07-08,DI-1,Completed,Not Sustained,FOB - Field Operations Bureau,4th District,D.I.U.,Squad 1,,,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,50679,Black,Female,35,,Female,White,55
Public Initiated,2019-0120-P,2019-01-30,2019-02-27,2019-07-08,DI-1,Completed,Not Sustained,FOB - Field Operations Bureau,4th District,D.I.U.,Squad 1,,,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,50681,,,,,Female,White,55
Public Initiated,2019-0157-P,2019-10-14,2019-03-13,2019-07-16,DI-1,Completed,Unfounded,ISB - Investigative Services Bureau,Special Investigations Division,Investigations,Investigations,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,50684,White,Male,33,,F,B,49
Rank Initiated,2019-0158-R,2019-03-05,2019-03-12,2021-07-22,DI-1,Completed,Sustained,FOB - Field Operations Bureau,3rd District,A Platoon,Patrol,Regular Working,Between 7am-3pm,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,50688,Black,Male,32,,,,
Public Initiated,,,2019-03-15,,,Initial,Pending,,,,,,,,,,,,,,,,
Rank Initiated,2019-0152-R,2019-03-12,2019-03-15,2019-07-19,DI-1,Completed,Not Sustained,FOB - Field Operations Bureau,6th District,,,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,50791,White,Female,32,,,,
Public Initiated,2019-0159-P,2019-03-12,2019-03-15,2019-06-03,DI-1,Completed,Not Sustained,FOB - Field Operations Bureau,1st District,Staff,,,,RULE 4: PERF OF DUTY,PARAGRAPH 02 - INSTRUCTIONS FROM AUTHORITATIVE SOURCE,50911,,,,,,,
Public Initiated,2019-0161-P,2019-03-15,2019-03-16,2019-07-08,DI-1,Completed,Unfounded,MSB - Management Service Bureau,Administrative Duties Services,Extended Sick,,,,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,50718,Black,Female,36,,,,
Rank Initiated,2019-0162-R,,2019-03-16,,DI-1,Forwarded,Pending,FOB - Field Operations Bureau,1st District,1st Platoon,,,,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,50720,White,Male,,,,,
Rank Initiated,2019-0163-P,2019-03-16,2019-03-18,2019-08-06,DI-1,Completed,Unfounded,ISB - Investigations and Support Bureau,Special Investigations Division,Narcotics Section,,,,RULE 2: MORAL CONDUCT,PARAGRAPH 06 - AUTHORIZED FORCE,50757,Hispanic,Male,45,,Male,Hispanic,22
Public Initiated,2019-0164-P,2018-03-18,2019-03-18,2019-07-19,DI-1,Completed,Exonerated,FOB - Field Operations Bureau,5th District,C Platoon,,,,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,50759,White,Male,42,,Female,Black,54
Public Initiated,2019-0169-P,2019-02-13,2019-03-19,2019-05-28,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,7th District,Night Watch,,,,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,50775,Black,Male,45,,Male,Black,20
Public Initiated,2019-0174-P,2018-10-03,2019-03-19,2019-06-01,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,6th District,Task Force,B,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,50776,White,Male,52,,Male,White,
Public Initiated,2019-0174-P,2018-10-03,2019-03-19,2019-06-01,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,6th District,Task Force,B,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,50778,White,Male,35,,Male,White,
Public Initiated,2019-0174-P,2018-10-03,2019-03-19,2019-06-01,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,6th District,Task Force,B,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,50780,White,Male,44,,Male,White,
Public Initiated,2019-0174-P,2018-10-03,2019-03-19,2019-06-01,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,6th District,Task Force,B,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,50781,Hispanic,Male,26,,Male,White,
Public Initiated,2019-0174-P,2018-10-03,2019-03-19,2019-06-01,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,6th District,Task Force,B,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,50783,White,Male,26,,Male,White,
Public Initiated,2019-0167-P,2018-10-01,2019-03-18,2019-07-19,DI-1,Completed,Not Sustained,FOB - Field Operations Bureau,1st District,1st Platoon,Patrol,Regular Working,Between 7am-3pm,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,50785,White,Male,40,,Male,Black,44
Rank Initiated,2019-0176-R,2019-03-19,2019-03-19,2019-09-23,DI-1,Completed,Negotiated Settlement,ISB - Investigations and Support Bureau,Criminal Investigations Division,Special Victims  Section,Sex Crimes Platoon 3,,,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,50788,Black,Male,52,,,,
Public Initiated,2019-0172-P,2019-03-05,2019-03-19,2019-07-23,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,1st District,1st District,Patrol,Regular Working,Between 1025pm-7am,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,50797,Black,Male,37,,,,46
Public Initiated,2019-0175-P,2018-07-01,2019-03-19,,DI-1,Forwarded,Pending,MSB - Management Service Bureau,Administrative Duties Services,Extended Sick,,,,RULE 3: PROF CONDUCT,PARAGRAPH 13 - Social Networking...etc.,50798,Black,Female,35,,Female,,
Public Initiated,2019-0175-P,2018-07-01,2019-03-19,,DI-1,Forwarded,Pending,MSB - Management Service Bureau,Administrative Duties Services,Extended Sick,,,,RULE 3: PROF CONDUCT,PARAGRAPH 13 - Social Networking...etc.,50798,Black,Female,35,,Sex-Unk,,
Public Initiated,2019-0166-P,,2019-03-20,2019-06-19,DI-1,Completed,Other,FOB - Field Operations Bureau,Crime Lab and Evidence Division,7th District,Patrol,Regular Working,Between 625am-3pm,,,51266,White,Male,,,Female,Black,
Public Initiated,2019-0171-P,2019-03-07,2019-03-20,2019-04-23,Mediation,Completed,Withdrawn - Mediation,FOB - Field Operations Bureau,8th District,C Platoon,,,,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,50801,White,Male,57,,Male,White,27
Public Initiated,2019-0173-P,2019-02-16,2019-03-20,2019-07-19,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,Police Recruits,,,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,50803,,,,,Female,White,47
Public Initiated,2019-0173-P,2019-02-16,2019-03-20,2019-07-19,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,Police Recruits,,,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,50803,,,,,,,
Public Initiated,2019-0173-P,2019-02-16,2019-03-20,2019-07-19,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,Police Recruits,,,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,50902,Black,Male,29,,Female,White,47
Public Initiated,2019-0173-P,2019-02-16,2019-03-20,2019-07-19,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,Police Recruits,,,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,50902,Black,Male,29,,,,
Rank Initiated,2019-0177-R,2019-03-16,2019-03-20,2019-07-19,DI-1,Completed,Sustained,FOB - Field Operations Bureau,2nd District,B Platoon,,,,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,50806,Black,Male,40,,,,
Public Initiated,2019-0170-P,,2019-03-20,2019-03-26,DI-1,Completed,Other,FOB - Field Operations Bureau,1st District,Staff,,,,,,52159,,,,,,,
Public Initiated,2019-0170-P,,2019-03-20,2019-03-26,DI-1,Completed,Other,FOB - Field Operations Bureau,1st District,Staff,,,,,,52159,,,,,Female,White,
Public Initiated,2019-0179-P,2019-03-20,2019-03-22,2019-07-19,DI-1,Completed,Not Sustained,FOB - Field Operations Bureau,7th District,Day Watch,,,,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,50842,Black,Female,39,,Male,Black,55
Rank Initiated,2019-0180-R,2019-03-21,2019-03-22,2019-08-07,DI-1,Completed,Negotiated Settlement,ISB - Investigations and Support Bureau,Criminal Investigations Division,Homicide Section,Squad C,,,RULE 4: PERF OF DUTY,PARAGRAPH 02 - INSTRUCTIONS FROM AUTHORITATIVE SOURCE,50843,Black,Male,40,,,,
Rank Initiated,2019-0181-R,2019-03-20,2019-03-21,2019-09-17,DI-1,Completed,Sustained,FOB - Field Operations Bureau,6th District,Narcotics,Task Force B,Regular Working,Between 3pm-11pm,RULE 4: PERF OF DUTY,PARAGRAPH 02 - INSTRUCTIONS FROM AUTHORITATIVE SOURCE,50856,White,Male,29,,,,
Rank Initiated,2019-0181-R,2019-03-20,2019-03-21,2019-09-17,DI-1,Completed,Sustained,FOB - Field Operations Bureau,6th District,Narcotics,Task Force B,Regular Working,Between 3pm-11pm,RULE 4: PERF OF DUTY,PARAGRAPH 02 - INSTRUCTIONS FROM AUTHORITATIVE SOURCE,50859,White,Male,29,,,,
Rank Initiated,2019-0181-R,2019-03-20,2019-03-21,2019-09-17,DI-1,Completed,Sustained,FOB - Field Operations Bureau,6th District,Narcotics,Task Force B,Regular Working,Between 3pm-11pm,RULE 4: PERF OF DUTY,PARAGRAPH 02 - INSTRUCTIONS FROM AUTHORITATIVE SOURCE,50861,White,Male,31,,,,
Rank Initiated,2019-0181-R,2019-03-20,2019-03-21,2019-09-17,DI-1,Completed,Sustained,FOB - Field Operations Bureau,6th District,Narcotics,Task Force B,Regular Working,Between 3pm-11pm,RULE 4: PERF OF DUTY,PARAGRAPH 02 - INSTRUCTIONS FROM AUTHORITATIVE SOURCE,50863,White,Male,32,,,,
Rank Initiated,2019-0181-R,2019-03-20,2019-03-21,2019-09-17,DI-1,Completed,Sustained,FOB - Field Operations Bureau,6th District,Narcotics,Task Force B,Regular Working,Between 3pm-11pm,RULE 4: PERF OF DUTY,PARAGRAPH 02 - INSTRUCTIONS FROM AUTHORITATIVE SOURCE,50865,Black,Male,34,,,,
Rank Initiated,2019-0181-R,2019-03-20,2019-03-21,2019-09-17,DI-1,Completed,Sustained,FOB - Field Operations Bureau,6th District,Narcotics,Task Force B,Regular Working,Between 3pm-11pm,RULE 4: PERF OF DUTY,PARAGRAPH 02 - INSTRUCTIONS FROM AUTHORITATIVE SOURCE,50867,White,Male,29,,,,
Rank Initiated,2019-0182-R,2019-03-25,2019-03-25,2021-07-14,DI-1,Completed,Sustained,FOB - Field Operations Bureau,2nd District,C Platoon,,,,RULE 4: PERF OF DUTY,PARAGRAPH 01 - REPORTING FOR DUTY,50876,Black,Male,40,,,,
Rank Initiated,2019-0183-R,2019-03-23,2019-03-25,2020-03-26,DI-1,Completed,Sustained,FOB - Field Operations Bureau,7th District,4th District,Patrol,Regular Working,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,50884,Black,Male,23,,,,
Public Initiated,2019-0184-P,2019-03-25,2019-03-25,2019-04-30,Mediation,Completed,Withdrawn - Mediation,MSB - Management Service Bureau,Records & Identification / Support Services Divisi,Records & I.D.,Public Records,Unknown Working Status,Unknown Shift Hours,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,50887,Not Specified,Female,62,,Female,Black,
Public Initiated,2019-0185-P,2019-03-20,2019-03-25,2019-05-02,Mediation,Completed,Withdrawn - Mediation,FOB - Field Operations Bureau,1st District,1st Platoon,,Unknown Working Status,Unknown Shift Hours,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,50888,Hispanic,Male,31,,Male,Black,57
Rank Initiated,2019-0186-R,2019-03-21,2019-03-25,,DI-1,Forwarded,Pending,MSB - Management Service Bureau,Administrative Duties Services,Extended Sick,,,,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,50890,Black,Female,36,,,,
Public Initiated,2019-0191-P,2019-02-21,2019-03-26,2019-07-08,DI-1,Completed,Exonerated,FOB - Field Operations Bureau,2nd District,A Platoon,,,,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,50903,White,Male,43,,F,B,46
Rank Initiated,2019-0187-R,2018-03-22,2019-03-27,,DI-1,Forwarded,Pending,MSB - Management Service Bureau,Administrative Duties Services,Limited Duty,,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 02 - INSTRUCTIONS FROM AUTHORITATIVE SOURCE,50912,Black,Male,27,,,,
Public Initiated,2019-0189-P,2019-03-14,2019-03-27,,DI-1,Forwarded,Pending,FOB - Field Operations Bureau,3rd District,C Platoon,,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,50914,,,,,,,
Public Initiated,2019-0189-P,2019-03-14,2019-03-27,,DI-1,Forwarded,Pending,FOB - Field Operations Bureau,3rd District,C Platoon,,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,51093,Hispanic,Male,29,,,,
