PIB File Number,Date Occurred,Originating Bureau,Division level,Division,Unit,Working Status,Shift,Investigation status,Disposition,Service Type,Light Condition,Weather Condition,Use of Force Type,Use of Force Level,Subject Influencing Factors,Use of Force Effective,Officer Race/Ethnicity,Officer Gender,Officer Age,Officer Years of Service,Distance Between,Subject Gender,Subject Ethnicity,Subject Age,Subject Build,Subject Height,Subject Injured,Subject Hospitalized,Subject Arrested,Subject Arrest Charges,Use of Force Reason,Officer Injured
FTN2017-0169,04/03/2017,FOB - Field Operations Bureau,3rd District,C Platoon,,Regular Working,,Completed,Use Of Force Authorized,Pedestrian Stop,Poor,Clear Conditions,Hands | Hands,L1 | L1,,Yes | Yes,Black | Black,Male | Male,37 | 51,18 | 0,,,,,,,,,,,refuse verbal commands,No | No
FTN2017-0174,04/04/2017,FOB - Field Operations Bureau,8th District,C Platoon,,Regular Working,8a-4p,Completed,Use Of Force Authorized,Traffic Stop,Good,Clear Conditions,Force (Take Down),L2,,Yes,White,Male,42,24,,,,,,,,,,,Other,No
FTN2016-0043,01/20/2016,FOB - Field Operations Bureau,2nd District,Narcotics,,Regular Working,Unknown Shift Hours,Completed,Use Of Force Authorized,Arresting,Poor,Other,Firearm (Exhibited) | Force (Take Down) | Firearm (Exhibited),L1 | L2 | L1,,No | Yes | No,Black | Black | Black,Male | Male | Male,39 | 30 | 27,25 | 10 | 10,,,,,,,,,,,Resisting Lawful Arrest,No | No | No
FTN2016-0156,03/17/2016,FOB - Field Operations Bureau,6th District,A Platoon,Patrol,,,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,Hands | CEW Exhibited/Laser | Force (Escort Tech) | Hands | CEW Deployment,L1 | L1 | L1 | L1 | L2,,No | No | Yes | No | No,White | White | White | Black | Black,Male | Male | Male | Male | Male,45 | 39 | 39 | 38 | 38,14 | 0 | 0 | 5 | 5,,,,,,,,,,,Other,No | No | No | Yes | Yes
FTN2016-0159,03/18/2016,FOB - Field Operations Bureau,1st District,2nd Platoon,,Unknown Working Status,Unknown Shift Hours,Completed,Use Of Force Authorized,Call for Service,Poor,Rainy Conditions - Light,Firearm (Exhibited),L1,,Yes,Black,Female,29,8,,,,,,,,,,,Other,No
FTN2016-0162,03/20/2016,FOB - Field Operations Bureau,7th District,Day Watch,,,,Completed,Use Of Force Authorized,Pedestrian Stop,Good,Clear Conditions,Firearm (Exhibited),L1,,Yes,Black,Male,27,13,,,,,,,,,,,refuse verbal commands,No
FTN2017-0172,04/04/2017,FOB - Field Operations Bureau,5th District,B Platoon,,Unknown Working Status,Unknown Shift Hours,Completed,Use Of Force Authorized,Call for Service,Poor,Clear Conditions,Firearm (Exhibited) | Firearm (Exhibited),L1 | L1,,Yes | Yes,White | White,Male | Male,29 | 38,7 | 6,,,,,,,,,,,Other,No | No
FTN2017-0171,04/04/2017,FOB - Field Operations Bureau,1st District,Narcotics,,Regular Working,,Completed,Use Of Force Authorized,Pedestrian Stop,Good,Clear Conditions,Force (Take Down),L2,,Yes,Black,Male,27,9,,,,,,,,,,,Resisting Lawful Arrest,No
FTN2017-0175,04/05/2017,FOB - Field Operations Bureau,3rd District,C Platoon,patrol,Regular Working,Between 11pm-7am,Completed,Use Of Force Authorized,Arresting,Poor,Clear Conditions,Firearm (Exhibited),L1,,Yes,White,Male,24,8,,,,,,,,,,,refuse verbal commands,No
FTN2018-0135,04/13/2018,FOB - Field Operations Bureau,8th District,Narcotics,,Regular Working,Between 11pm-7am,Completed,UOF Justified,Arresting,Poor,Foggy Condition,Force (Take Down) | Hands | Takedown (no injury),L2 | L1 | L1,,Yes | No | Yes,White | White | White,Male | Male | Male,36 | 29 | 28,13 | 9 | 8,,,,,,,,,,,Resisting Lawful Arrest,No | No | No
FTN2018-0198,05/24/2018,ISB - Investigative Services Bureau,ISB Staff,,,Paid Detail,Between 3pm-11pm,Completed,UOF Justified,Arresting,Good,Clear Conditions,Takedown (no injury),L1,,Yes,White,Male,56,25,,,,,,,,,,,Battery on Police Officer,No
FTN2022-0280,07/31/2022,FOB - Field Operations Bureau,2nd District,2nd District,DCAT,Regular Working,Unknown Shift Hours,Completed,UOF Justified,Call for Service,Good,Clear Conditions,Firearm (Exhibited) | Firearm (Exhibited),L1 | L1,,Yes | Yes,Hispanic | White,Male | Male,30 | 25,6 | 3,,,,,,,,,,,refuse verbal commands,No | No
FTN2022-0286,08/03/2022,FOB - Field Operations Bureau,7th District,Second Watch,Second Watch,Unknown Working Status,Unknown Shift Hours,Completed,UOF Justified,Call for Service,Good,Other,Firearm (Exhibited),L1,,Yes,Black,Male,59,31,,,,,,,,,,,Tactical Deployments,No
FTN2018-0091,03/11/2018,FOB - Field Operations Bureau,6th District,B Platoon,Patrol,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Arresting,Good,Clear Conditions,Force (Take Down),L2,,Yes,White,Male,28,6,,,,,,,,,,,Resisting Lawful Arrest,Yes
FTN2019-0192,05/26/2019,FOB - Field Operations Bureau,Special Operations Division,Tactical Section,1st Platoon,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Serving a Warrant,Good,Clear Conditions,Rifle (Pointed),L1,,Yes,Asian/Pacific Islander,Male,34,16,,,,,,,,,,,Tactical Deployments,No
FTN2019-0193,05/30/2019,FOB - Field Operations Bureau,3rd District,A Platoon,Patrol,Regular Working,Unknown Shift Hours,Completed,UOF Justified,Arresting,Good,Clear Conditions,Firearm (Exhibited),L1,,Yes,Black,Male,35,7,,,,,,,,,,,Resisting Lawful Arrest,No
FTN2019-0196,05/31/2019,FOB - Field Operations Bureau,8th District,Narcotics,Narcotics,Regular Working,Between 11pm-7am,Completed,UOF Justified,Arresting,Good,Clear Conditions,Takedown (w/injury) | Hands,L2 | L1,,Yes | No,White | White,Male | Male,29 | 28,8 | 7,,,,,,,,,,,Resisting Lawful Arrest,No | No
FTN2019-0195,05/31/2019,FOB - Field Operations Bureau,5th District,B Platoon,Patrol,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Call for Service,Good,Clear Conditions,Force (Take Down) | Force (Take Down),L2 | L2,,Yes | Yes,White | White,Male | Male,25 | 57,5 | 5,,,,,,,,,,,Resisting Lawful Arrest,No | Yes
FTN2019-0194,05/31/2019,FOB - Field Operations Bureau,5th District,A Platoon,Patrol,Regular Working,Unknown Shift Hours,Completed,UOF Justified With Training,Transport,Good,Clear Conditions,Takedown (no injury),L1,,Yes,Black,Female,36,7,,,,,,,,,,,Escape,Yes
FTN2017-0188,04/11/2017,FOB - Field Operations Bureau,8th District,C Platoon,,Regular Working,Between 11pm-7am,Completed,Use Of Force Authorized,Pedestrian Stop,Good,Clear Conditions,CEW Exhibited/Laser,L1,,Yes,Black,Male,27,7,,,,,,,,,,,Escape,No
FTN2016-0499,10/09/2016,FOB - Field Operations Bureau,1st District,2nd Platoon,,Unknown Working Status,Unknown Shift Hours,Completed,Use Of Force Authorized,Arresting,Good,Clear Conditions,Force (Escort Tech) | Other,L1 | L1,,No | No,White | Black,Female | Female,25 | 24,7 | 7,,,,,,,,,,,Resisting Lawful Arrest,No | Yes
FTN2022-0302,08/10/2022,FOB - Field Operations Bureau,8th District,8th District,Patrol,Regular Working,Unknown Shift Hours,Completed,UOF Justified,Arresting,Good,Clear Conditions,Hands,L1,,Yes,Black,Male,34,8,,,,,,,,,,,refuse verbal commands,No
FTN2016-0075,02/07/2016,FOB - Field Operations Bureau,8th District,Narcotics,Narcotics,,,Completed,Use Of Force Authorized,Pedestrian Stop,Good,Clear Conditions,Hands | Hands | Force (Take Down) | Force (Escort Tech) | Hands | Force (Escort Tech),L1 | L1 | L2 | L1 | L1 | L1,,Yes | Yes | Yes | Yes | Yes | Yes,White | White | Hispanic | Black | Black | White,Male | Male | Male | Male | Male | Male,35 | 54 | 27 | 33 | 33 | 27,14 | 25 | 11 | 11 | 11 | 9,,,,,,,,,,,Resisting Lawful Arrest,No | No | No | No | No | No
FTN2016-0104,02/19/2016,FOB - Field Operations Bureau,8th District,B Platoon,Patrol,,,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,Hands,L1,,Yes,White,Male,27,9,,,,,,,,,,,refuse verbal commands,No
FTN2019-0088,03/05/2019,FOB - Field Operations Bureau,3rd District,B Platoon,Patrol,Regular Working,Between 7am-3pm,Completed,UOF Not Justified,Call for Service,Good,Clear Conditions,Rifle (Pointed) | Firearm (Discharged) | Rifle (Pointed),L1 | L4 | L1,,Yes | No | Yes,White | Black | Black,Male | Male | Male,46 | 32 | 30,23 | 13 | 13,,,,,,,,,,,Resisting Officer w/Weapon,No | No | No
FTN2019-0144,04/13/2019,FOB - Field Operations Bureau,1st District,D.I.U.,Staff,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Pedestrian Stop,Good,Clear Conditions,Takedown (no injury),L1,,Yes,White,Male,47,24,,,,,,,,,,,Battery on Police Officer,Yes
FTN2019-0198,06/03/2019,FOB - Field Operations Bureau,8th District,B Platoon,Patrol,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Arresting,Good,Clear Conditions,Hands | Takedown (w/injury) | Hands,L1 | L2 | L1,,Yes | Yes | Yes,White | White | White,Male | Male | Female,35 | 27 | 26,13 | 5 | 4,,,,,,,,,,,Resisting Lawful Arrest,Yes | No | Yes
FTN2019-0200,06/09/2019,FOB - Field Operations Bureau,7th District,A Platoon,,Unknown Working Status,Unknown Shift Hours,Completed,UOF Justified,Call for Service,Good,Clear Conditions,Takedown (no injury),L1,,Yes,White,Male,31,5,,,,,,,,,,,refuse verbal commands,No
FTN2016-0092,02/14/2016,FOB - Field Operations Bureau,2nd District,C Platoon,,,,Completed,Use Of Force Authorized,Call for Service,Poor,Clear Conditions,Force (Take Down) | Hands,L2 | L1,,Yes | Yes,White | White,Male | Male,37 | 23,18 | 8,,,,,,,,,,,Resisting Lawful Arrest,No | No
FTN2019-0101,03/16/2019,FOB - Field Operations Bureau,4th District,2nd Platoon,Patrol,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Call for Service,Poor,Clear Conditions,Hands | Hands | Hands,L1 | L1 | L1,,Yes | Yes | Yes,Black | Black | American Indian/Alaska Native,Female | Male | Male,32 | 35 | 25,6 | 5 | 4,,,,,,,,,,,refuse verbal commands,No | No | No
FTN2019-0204,06/08/2019,FOB - Field Operations Bureau,2nd District,Narcotics,,Regular Working,Between 7am-3pm,Completed,UOF Justified,Arresting,Good,Clear Conditions,Hands,L1,,Yes,White,Male,32,6,,,,,,,,,,,Battery on Police Officer,No
FTN2019-0202,06/09/2019,FOB - Field Operations Bureau,2nd District,A Platoon,Patrol,Regular Working,Between 7am-3pm,Completed,UOF Justified,Call for Service,Good,Clear Conditions,Firearm (Exhibited),L1,,Yes,White,Male,32,7,,,,,,,,,,,Other,No
FTN2019-0201,06/10/2019,FOB - Field Operations Bureau,1st District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified,Arresting,Poor,Clear Conditions,Firearm (Exhibited),L1,,Yes,Hispanic,Male,37,5,,,,,,,,,,,Resisting Lawful Arrest,No
FTN2017-0273,05/30/2017,FOB - Field Operations Bureau,3rd District,Investigations,Squad 3,,,Completed,Use Of Force Authorized,Serving a Warrant,Good,Rainy Conditions - Medium,Firearm (Exhibited),L1,,Yes,White,Male,46,18,,,,,,,,,,,Other,No
FTN2018-0151,04/24/2018,FOB - Field Operations Bureau,3rd District,Task Force A,Task Force A,Regular Working,Between 3pm-11pm,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,Firearm (Exhibited),L1,,Yes,Black,Male,39,17,,,,,,,,,,,Other,No
FTN2018-0161,05/01/2018,FOB - Field Operations Bureau,6th District,B Platoon,Patrol,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Call for Service,Good,Clear Conditions,Hands,L1,,Yes,Hispanic,Male,31,6,,,,,,,,,,,Flight from an Officer,No
FTN2022-0172,05/18/2022,FOB - Field Operations Bureau,6th District,6th District,Patrol,Unknown Working Status,Unknown Shift Hours,Completed,UOF Justified,Arresting,Good,Clear Conditions,Takedown (no injury),L1,,Yes,White,Male,49,4,,,,,,,,,,,Flight from an Officer,No
FTN2018-0437,11/27/2018,FOB - Field Operations Bureau,4th District,Neighborhood Policing,Patrol,Regular Working,Between 7am-3pm,Completed,UOF Justified,Call for Service,Good,Clear Conditions,Firearm (Exhibited),L1,,Yes,Black,Female,30,11,,,,,,,,,,,Tactical Deployments,No
FTN2022-0281,08/01/2022,FOB - Field Operations Bureau,5th District,Day Watch,Day Watch,Unknown Working Status,Unknown Shift Hours,Completed,UOF Justified,Arresting,Good,Rainy Conditions - Medium,Firearm (Exhibited) | Takedown (no injury),L1 | L1,,No | Yes,White | White,Male | Male,30 | 30,5 | 5,,,,,,,,,,,Flight from an Officer,No | No
FTN2016-0109,02/21/2016,FOB - Field Operations Bureau,5th District,Narcotics,,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Traffic Stop,Good,Clear Conditions,Firearm (Exhibited),L1,,Yes,Black,Male,32,15,,,,,,,,,,,Resisting Lawful Arrest,No
FTN2019-0203,06/10/2019,FOB - Field Operations Bureau,8th District,Narcotics,Patrol,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Arresting,Good,Clear Conditions,Hands | Force (Escort Tech) | Hands,L1 | L1 | L1,,Yes | Yes | Yes,White | Black | White,Male | Male | Male,35 | 51 | 32,13 | 32 | 8,,,,,,,,,,,Resisting Lawful Arrest,No | No | No
FTN2019-0205,06/11/2019,FOB - Field Operations Bureau,2nd District,Task Force,,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Call for Service,,,Firearm (Exhibited) | Firearm (Exhibited),L1 | L1,,Yes | Yes,White | White,Male | Male,30 | 31,6 | 6,,,,,,,,,,,refuse verbal commands,No | No
FTN2019-0207,06/13/2019,FOB - Field Operations Bureau,8th District,B Platoon,Patrol,Regular Working,Between 3pm-11pm,Completed,UOF Not Justified,Arresting,Good,Clear Conditions,CEW Deployment,L2,,Yes,White,Male,31,8,,,,,,,,,,,Battery on Police Officer,No
FTN2021-0371,11/21/2021,FOB - Field Operations Bureau,7th District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified,Call for Service,Poor,Clear Conditions,Firearm (Exhibited) | - Hands (with injury),L1 | L2,,Yes | Yes,Black | Black,Male | Male,38 | 38,6 | 6,,,,,,,,,,,Flight from an Officer,No | No
FTN2017-0253,05/20/2017,FOB - Field Operations Bureau,1st District,3rd Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,Use Of Force Authorized,Call for Service,Poor,Clear Conditions,Other,L1,,Yes,White,Female,30,7,,,,,,,,,,,Other,No
FTN2017-0255,05/21/2017,FOB - Field Operations Bureau,5th District,A Platoon,Patrol,Regular Working,Between 7am-3pm,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,Hands | Hands,L1 | L1,,Yes | Yes,Black | Black,Male | Male,64 | 55,44 | 3,,,,,,,,,,,Resisting Lawful Arrest,No | No
FTN2017-0257,05/22/2017,FOB - Field Operations Bureau,3rd District,B Platoon,,Regular Working,Between 3pm-11pm,Completed,Use Of Force Authorized,Arresting,Poor,Rainy Conditions - Medium,Firearm (Exhibited),L1,,Yes,White,Female,39,8,,,,,,,,,,,Other,No
FTN2017-0258,05/22/2017,FOB - Field Operations Bureau,5th District,Task Force,,Regular Working,,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,Firearm (Exhibited),L1,,Yes,White,Female,45,8,,,,,,,,,,,refuse verbal commands,No
FTN2016-0383,07/26/2016,FOB - Field Operations Bureau,3rd District,A Platoon,,,,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,Firearm (Exhibited) | Firearm (Exhibited) | Hands,L1 | L1 | L1,,Yes | Yes | Yes,White | White | White,Male | Male | Male,34 | 26 | 26,17 | 9 | 9,,,,,,,,,,,Other,No | No | No
FTN2016-0134,03/06/2016,FOB - Field Operations Bureau,2nd District,A Platoon,,,,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,Firearm (Exhibited),L1,,Yes,White,Male,37,16,,,,,,,,,,,Other,No
FTN2022-0285,08/03/2022,FOB - Field Operations Bureau,2nd District,2nd District,DCAT,Regular Working,Unknown Shift Hours,Completed,UOF Justified,Arresting,Good,Clear Conditions,Firearm (Exhibited) | Force (Take Down) | Firearm (Exhibited) | Firearm (Exhibited),L1 | L2 | L1 | L1,,No | Yes | No | No,Hispanic | Hispanic | Black | Hispanic,Male | Male | Male | Male,30 | 30 | 28 | 24,6 | 6 | 3 | 2,,,,,,,,,,,Flight from an Officer,No | No | No | No
FTN2016-0125,03/06/2016,FOB - Field Operations Bureau,6th District,C Platoon,,,,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,CEW Exhibited/Laser,L1,,Yes,Black,Male,33,15,,,,,,,,,,,refuse verbal commands,No
FTN2019-0134,04/05/2019,FOB - Field Operations Bureau,3rd District,K9 Section,,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Traffic Stop,Good,Clear Conditions,Canine (No Bite),L2,,Yes,Black,Male,48,22,,,,,,,,,,,Flight from an Officer,No
FTN2019-0206,06/13/2019,FOB - Field Operations Bureau,Special Operations Division,Tactical Section,1st Platoon,Regular Working,Between 11pm-7am,Completed,UOF Justified,Serving a Warrant,Good,Clear Conditions,Rifle (Pointed) | Firearm (Exhibited),L1 | L1,,Yes | Yes,Black | Black,Male | Male,30 | 31,13 | 10,,,,,,,,,,,Tactical Deployments,No | No
FTN2019-0209,06/15/2019,FOB - Field Operations Bureau,1st District,B Platoon,Patrol,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Call for Service,Poor,Clear Conditions,Firearm (Exhibited) | Firearm (Exhibited) | Firearm (Exhibited),L1 | L1 | L1,,Yes | Yes | Yes,White | White | White,Male | Male | Male,53 | 24 | 33,15 | 4 | 4,,,,,,,,,,,refuse verbal commands,No | No | No
FTN2019-0208,06/16/2019,FOB - Field Operations Bureau,5th District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified,Call for Service,Good,Clear Conditions,CEW Deployment,L2,,Yes,White,Male,44,18,,,,,,,,,,,Weapon Exhibited,No
FTN2017-0459,08/31/2017,FOB - Field Operations Bureau,3rd District,A Platoon,,Re-Assigned,Between 7am-3pm,Completed,Use Of Force Authorized,Arresting,Good,Clear Conditions,Firearm (Exhibited),L1,,Yes,White,Male,30,7,,,,,,,,,,,Flight from an Officer,No
FTN2019-0213,06/19/2019,FOB - Field Operations Bureau,Special Operations Division,Tactical Section,1st Platoon,Regular Working,Between 7am-3pm,Completed,UOF Justified,Arresting,Good,Clear Conditions,Firearm (Exhibited),L1,,Yes,White,Male,41,16,,,,,,,,,,,Flight from an Officer,No
FTN2019-0217,06/22/2019,FOB - Field Operations Bureau,4th District,Street Gang Unit,Squad B,Regular Working,Between 11pm-7am,Completed,UOF Justified With Policy Violation,Traffic Stop,Poor,Clear Conditions,Firearm (Exhibited),L1,,Yes,Black,Male,52,25,,,,,,,,,,,Flight from an Officer,No
FTN2019-0214,06/23/2019,FOB - Field Operations Bureau,8th District,Bourbon Promenade,Bourbon Street,Regular Working,Between 11pm-7am,Completed,UOF Justified,Arresting,Good,Clear Conditions,Takedown (w/injury) | Takedown (w/injury),L2 | L2,,Yes | Yes,White | White,Male | Male,30 | 27,5 | 4,,,,,,,,,,,Resisting Lawful Arrest,No | No
FTN2017-0278,06/03/2017,FOB - Field Operations Bureau,7th District,Tactical Section,,Regular Working,Between 11pm-7am,Completed,Use Of Force Authorized,Other,Poor,Clear Conditions,CEW | Firearm (Exhibited) | Firearm (Exhibited) | Firearm (Exhibited),L4 | L1 | L1 | L1,,Limited | No | No | No,White | White | Black | White,Male | Male | Male | Male,39 | 43 | 40 | 43,12 | 13 | 20 | 23,,,,,,,,,,,Other,No | No | No | No
FTN2017-0281,06/03/2017,FOB - Field Operations Bureau,7th District,D.I.U.,Squad 1,Regular Working,,Completed,Use Of Force Authorized,Arresting,Poor,Clear Conditions,Firearm (Exhibited),L1,,Yes,White,Male,51,35,,,,,,,,,,,Other,No
FTN2017-0296,06/12/2017,FOB - Field Operations Bureau,5th District,A Platoon,Patrol,Regular Working,Between 7am-3pm,Completed,Use Of Force Authorized,Call for Service,Good,Rainy Conditions - Light,CEW Exhibited/Laser | Force (Take Down),L1 | L2,,Yes | Yes,Hispanic | Black,Female | Male,38 | 47,7 | 6,,,,,,,,,,,refuse verbal commands,No | No
FTN2018-0136,04/15/2018,FOB - Field Operations Bureau,3rd District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified,Other,Poor,Clear Conditions,Firearm (Exhibited),L1,,Yes,White,Female,43,15,,,,,,,,,,,refuse verbal commands,No
FTN2019-0017,01/12/2019,FOB - Field Operations Bureau,6th District,A Platoon,Patrol,Regular Working,Between 7am-3pm,Completed,UOF Justified,Arresting,Good,Clear Conditions,CEW Deployment,L2,,Yes,White,Male,32,8,,,,,,,,,,,Resisting Lawful Arrest,Yes
FTN2022-0289,08/06/2022,FOB - Field Operations Bureau,3rd District,Night Watch,Night Watch,Unknown Working Status,Unknown Shift Hours,Completed,UOF Justified,Arresting,Good,Clear Conditions,Firearm (Exhibited) | Takedown (no injury),L1 | L1,,Yes | Yes,Black | Black,Male | Male,27 | 27,4 | 4,,,,,,,,,,,refuse verbal commands,No | No
FTN2022-0295,08/09/2022,FOB - Field Operations Bureau,2nd District,Night Watch,Night Watch,DUI 2009-0665-R,Unknown Shift Hours,Completed,UOF Justified,Arresting,Good,Clear Conditions,Firearm (Exhibited),L1,,Yes,Black,Male,49,21,,,,,,,,,,,Weapon Exhibited,No
FTN2017-0016,01/16/2017,ISB - Investigations and Support Bureau,Special Investigations Division,Street Gang Unit,Squad A,Regular Working,,Completed,Use Of Force Authorized,Arresting,Good,Clear Conditions,Firearm (Exhibited) | CEW Exhibited/Laser | CEW Exhibited/Laser,L1 | L1 | L1,,Yes | Yes | Yes,White | Black | Black,Male | Male | Male,29 | 29 | 34,13 | 14 | 16,,,,,,,,,,,Resisting Lawful Arrest,No | No | No
FTN2021-0016,01/27/2021,FOB - Field Operations Bureau,2nd District,D.I.U.,,Regular Working,Between 7am-3pm,Completed,UOF Justified,Arresting,Good,Clear Conditions,Hands,L1,,Yes,White,Male,32,6,,,,,,,,,,,Resisting Lawful Arrest,Yes
FTN2021-0369,11/21/2021,FOB - Field Operations Bureau,5th District,,,,,Initial,Pending,Arresting,Good,Clear Conditions,Firearm (Exhibited) | Firearm (Exhibited) | Firearm (Exhibited),L1 | L1 | L1,,Yes | Yes | Yes,Black | Not Applicable (Non-U.S.) | Black,Male | Male | Male,36 | 43 | 26,13 | 21 | 6,,,,,,,,,,,Resisting Lawful Arrest,No | No | No
FTN2017-0305,06/16/2017,FOB - Field Operations Bureau,7th District,Task Force,A,Regular Working,,Completed,Use Of Force Authorized,Traffic Stop,Good,Clear Conditions,Firearm (Exhibited) | Firearm (Exhibited),L1 | L1,,Yes | Yes,Black | White,Male | Male,40 | 31,24 | 8,,,,,,,,,,,Resisting Lawful Arrest,No | No
FTN2017-0306,06/16/2017,FOB - Field Operations Bureau,7th District,Evening Watch,Patrol,Regular Working,Between 11pm-7am,Completed,Use Of Force Authorized,Pedestrian Stop,Poor,Clear Conditions,Firearm (Exhibited),L1,,Yes,Black,Male,23,6,,,,,,,,,,,Resisting Lawful Arrest,No
FTN2017-0307,06/17/2017,FOB - Field Operations Bureau,2nd District,B Platoon,Patrol,Regular Working,Between 3pm-11pm,Completed,Use Of Force Authorized,Other,Good,Clear Conditions,Hands,L1,,Yes,White,Male,35,15,,,,,,,,,,,refuse verbal commands,Yes
FTN2017-0316,06/19/2017,FOB - Field Operations Bureau,1st District,1st Platoon,Patrol,Regular Working,Between 7am-3pm,Completed,Use Of Force Authorized,Arresting,Good,Clear Conditions,CEW Exhibited/Laser,L1,,Yes,White,Male,52,6,,,,,,,,,,,Resisting Lawful Arrest,No
FTN2018-0159,04/30/2018,FOB - Field Operations Bureau,Special Operations Division,Tactical Section,1st Platoon,Regular Working,Between 7am-3pm,Completed,Use Of Force Authorized,Arresting,Good,Clear Conditions,Firearm (Exhibited),L1,,Yes,White,Male,40,16,,,,,,,,,,,Flight from an Officer,No
FTN2022-0316,08/24/2022,FOB - Field Operations Bureau,7th District,Second Watch,Second Watch,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Arresting,Good,Rainy Conditions - Light,CEW Deployment,L2,,Yes,White,Male,32,3,,,,,,,,,,,Resisting Lawful Arrest,No
FTN2019-0218,06/24/2019,FOB - Field Operations Bureau,8th District,Workmans Compensation,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified,Call for Service,Good,Clear Conditions,CEW Deployment | CEW Deployment,L2 | L2,,No | Yes,White | Black,Male | Male,35 | 50,14 | 31,,,,,,,,,,,Resisting Officer w/Weapon,No | No
FTN2019-0219,06/26/2019,FOB - Field Operations Bureau,3rd District,B Platoon,Patrol,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Arresting,Good,Clear Conditions,Hands | Takedown (w/injury),L1 | L2,,Yes | Yes,Black | Black,Male | Male,30 | 30,6 | 6,,,,,,,,,,,Battery on Police Officer,Yes | Yes
FTN2019-0220,06/27/2019,FOB - Field Operations Bureau,1st District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified With Policy Violation,Call for Service,Good,Clear Conditions,Firearm (Exhibited) | CEW Exhibited/Laser | Firearm (Exhibited),L1 | L1 | L1,,Yes | Yes | Yes,White | White | White,Male | Male | Male,31 | 36 | 36,7 | 4 | 4,,,,,,,,,,,Room clearing,No | No | No
FTN2020-0289,09/29/2020,FOB - Field Operations Bureau,7th District,B Platoon,Patrol,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Call for Service,Good,Clear Conditions,Takedown (no injury) | Takedown (no injury),L1 | L1,,Yes | Yes,White | Hispanic,Male | Male,31 | 30,8 | 4,,,,,,,,,,,Resisting Lawful Arrest,Yes | No
FTN2020-0290,09/30/2020,FOB - Field Operations Bureau,3rd District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified,Arresting,Poor,Clear Conditions,Firearm (Exhibited),L1,,Yes,White,Male,51,19,,,,,,,,,,,Tactical Deployments,No
FTN2021-0372,11/22/2021,FOB - Field Operations Bureau,2nd District,Day Watch,Day Watch,Regular Working,Between 11pm-7am,Completed,UOF Justified,Arresting,Good,Clear Conditions,Hands,L1,,Yes,Black,Male,27,3,,,,,,,,,,,Resisting Lawful Arrest,No
FTN2018-0103,03/20/2018,FOB - Field Operations Bureau,8th District,Bourbon Promenade,Bourbon Street,Regular Working,Between 11pm-7am,Completed,UOF Justified,Arresting,Good,Clear Conditions,Hands | CEW Exhibited/Laser | Force (Take Down) | Force (Take Down),L1 | L1 | L2 | L2,,Yes | Limited | Yes | Yes,Black | White | White | Black,Male | Male | Male | Male,37 | 26 | 26 | 32,7 | 7 | 7 | 6,,,,,,,,,,,Escape,No | No | No | No
FTN2018-0105,03/21/2018,FOB - Field Operations Bureau,4th District,1st Platoon,Patrol,Regular Working,Between 7am-3pm,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,Force (Take Down) | Force (Take Down),L2 | L2,,Yes | Yes,Black | Black,Male | Male,53 | 22,21 | 5,,,,,,,,,,,Flight from an Officer,No | No
FTN2018-0112,03/27/2018,FOB - Field Operations Bureau,7th District,Evening Watch,Patrol,Regular Working,Between 3pm-11pm,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,Hands | Hands | Hands,L1 | L1 | L1,,Yes | Yes | Yes,White | White | White,Male | Female | Female,34 | 43 | 26,14 | 7 | 7,,,,,,,,,,,refuse verbal commands,No | No | No
